Relatório de palavras-chave da rede de pesquisa
Todo o período
Status da palavra-chave,Palavra-chave,Tipo de corresp.,Status,Motivos do status,Valor conv.,Valor conv. / custo,URL final,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Taxa de conv.,Conversões,Custo / conv.,Valor original da conv.
Ativado,"""bolo personalizado""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolos de aniversário""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""encomenda de bolo""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,2,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolo decorado""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,6,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,[bolo personalizado goiania],Correspondência exata,Qualificado,,"0,00","0,00",,0,3,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolos de aniversário personalizados""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolo e docinhos para festa""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolo de festa personalizado""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""tema de bolo docinho""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolo tema doceria""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""doces personalizados""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,[encomenda de bolos],Correspondência exata,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""doces para festa de aniversário""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolo festa""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolos e doces""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolo aniversario""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolo de docinhos""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolo personalizado goiania""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolo de festa de aniversário""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolos e doces para festas""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""atelie de bolo""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolo tema doces""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,[bolo decorado goiania],Correspondência exata,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,[bolo personalizado goiânia],Correspondência exata,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""doces decorados para casamento""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolo decorado goiania""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolos personalizados""",Correspondência de frase,Qualificado,,"0,00","0,00",,1,7,"14,29%",BRL,"4,34","4,34","0,00%","0,00","0,00","0,00"
Ativado,"""encomendar bolo decorado""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolos tematicos""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,1,"0,00%",BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolo cenografico""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolos finos de aniversário""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolos decorados""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolo de festa""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""doceria bolo""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolos para aniversário""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""encomenda de bolos de aniversário""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,[kit festa goiania],Correspondência exata,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""encomendar bolo de aniversário""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""entrega de bolo""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolo para festa""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolo tematico""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
Ativado,"""bolo com tema doces""",Correspondência de frase,Qualificado,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
 --,,"Total: Todas as palavras-chave, exceto as removidas", --,,"0,00","0,00",,1,24,"4,17%",BRL,"4,34","4,34","0,00%","0,00","0,00","0,00"
,,Total: Palavras-chave no seu grupo de anúncios,,,"0,00","0,00",,6,182,"3,30%",BRL,"3,49","20,94","0,00%","0,00","0,00","0,00"
,,Total: Suas palavras-chave,,,"0,00","0,00",,6,182,"3,30%",BRL,"3,49","20,94","0,00%","0,00","0,00",0
,,Total: Correspondências expandidas da AI Max,,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00",0
,,Total: Correspondências de páginas de destino da AI Max,,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
,,Total: Inclusões de URL no seu grupo de anúncios,,,"0,00","0,00",,0,0, --,BRL,0,"0,00","0,00%","0,00","0,00","0,00"
,,Total: Grupo de anúncios,,,"0,00","0,00",,6,182,"3,30%",BRL,"3,49","20,94","0,00%","0,00","0,00","0,00"
